PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,OREB,AST,STL,BLK,TOV,FG_PCT,FG3M,FG3_PCT,FT_PCT,PLUS_MINUS,SALARY
1627763,malcolm brogdon,WAS,32,24,564,305,91,21,98,13,5,38,0.433,16,0.286,0.88,-121,22500000
1642502,malevy leons,OKC,25,6,20,2,3,1,1,0,0,1,0.0,0,0.0,0.5,-18,1097300
1627736,malik beasley,DET,28,82,2282,1336,214,47,139,73,5,83,0.43,319,0.416,0.679,175,7200000
1628370,malik monk,SAC,27,65,2054,1117,245,30,362,61,38,159,0.439,139,0.325,0.865,116,18797619
1630699,marjon beauchamp,NYK,24,35,156,79,44,11,11,4,1,15,0.415,10,0.345,0.75,9,2733720
1630542,marcus bagley,PHI,23,10,253,67,70,23,10,9,12,7,0.391,5,0.156,0.8,-84,66503
1630585,marcus garrett,CHA,26,4,79,28,6,1,13,3,2,6,0.407,3,0.375,0.75,-39,1862265
1631204,marcus sasser,DET,24,57,810,375,69,18,133,37,4,54,0.463,58,0.382,0.843,41,2886431
203935,marcus smart,WAS,31,34,680,305,72,18,109,39,9,54,0.393,49,0.348,0.761,42,21586856
1631109,mark williams,CHA,23,44,1171,671,447,132,109,32,54,71,0.604,0,0.0,0.804,-301,6276531
1628365,markelle fultz,SAC,27,21,184,61,20,6,27,10,2,15,0.418,4,0.5,1.0,5,2296274
202693,markieff morris,LAL,35,15,164,56,23,3,21,2,3,5,0.3,9,0.25,0.833,-28,2296274
1628963,marvin bagley iii,MEM,26,31,265,136,84,38,11,9,8,12,0.519,3,0.158,0.657,-10,2296274
1630222,mason jones,SAC,26,10,45,23,9,2,11,0,1,1,0.5,1,0.125,0.8,1,578577
203486,mason plumlee,PHX,35,74,1300,333,455,116,134,33,47,59,0.619,0,0.0,0.648,54,3634153
1641824,matas buzelis,CHI,20,80,1511,688,278,55,79,29,75,74,0.454,96,0.361,0.815,-35,5455560
1629680,matisse thybulle,POR,28,15,312,112,52,14,28,33,9,13,0.477,21,0.438,0.467,1,11550000
1630346,matt ryan,NYK,28,19,67,28,8,0,3,2,0,3,0.323,6,0.316,1.0,-40,1988603
1631108,max christie,DAL,22,78,2127,749,258,38,146,64,31,88,0.427,115,0.366,0.855,-83,7714286
1629622,max strus,CLE,29,50,1272,471,217,53,158,26,12,54,0.442,113,0.386,0.824,221,15936452
1628467,maxi kleber,LAL,33,34,636,103,95,25,43,9,17,23,0.385,13,0.265,0.762,-17,11000000
1641721,maxwell lewis,BKN,22,28,327,116,55,18,19,9,7,14,0.417,19,0.38,0.7,-68,100000
1630695,micah potter,UTA,27,38,705,162,164,43,31,14,14,31,0.422,31,0.316,0.85,-104,578577
1629008,michael porter jr.,DEN,27,77,2593,1398,540,138,165,50,38,104,0.504,193,0.395,0.768,265,38333050
1628969,mikal bridges,NYK,28,82,3036,1444,259,71,306,75,43,132,0.5,164,0.354,0.814,334,24900000
201144,mike conley,MIN,37,71,1755,582,182,32,319,79,14,75,0.4,127,0.41,0.9,265,10774038
1628970,miles bridges,CHA,27,64,2028,1300,481,72,248,44,45,136,0.431,141,0.313,0.87,-259,25000000
1630540,miles mcbride,NYK,24,64,1593,611,161,47,187,67,17,41,0.406,115,0.369,0.813,211,4333333
1641936,miles norris,BOS,25,3,34,7,9,2,0,2,1,0,0.222,2,0.286,0.5,-14,636434
1629011,mitchell robinson,NYK,27,17,290,87,101,52,13,16,18,10,0.661,0,0.0,0.684,23,12954546
1628964,mo bamba,NOP,27,32,413,138,145,32,18,9,31,20,0.464,15,0.278,0.704,-75,2613120
1628420,monte morris,PHX,30,45,570,233,67,12,73,20,3,21,0.426,31,0.36,0.857,47,2800834
1629021,moritz wagner,ORL,28,30,564,386,148,40,42,24,12,49,0.562,27,0.36,0.718,-17,5000000
1629650,moses brown,DAL,25,13,118,76,44,12,2,6,4,11,0.694,0,0.0,0.727,-14,2382473
1630541,moses moody,GSW,23,74,1649,724,189,52,96,59,31,54,0.433,126,0.374,0.797,132,11574075
1631243,mouhamed gueye,ATL,22,33,532,197,139,44,27,28,33,15,0.421,21,0.259,0.762,87,2221677
1631217,moussa diabate,CHA,23,71,1240,403,438,187,56,46,40,61,0.596,0,0.0,0.595,-123,2270735
1626167,myles turner,IND,29,72,2173,1120,471,90,111,54,144,123,0.481,156,0.396,0.773,202,25318251
1642368,n'faly dante,HOU,23,4,50,24,21,6,2,1,5,2,0.769,0,0.0,0.8,-11,578577
1641772,nae'qwan tomlin,CLE,24,5,63,36,21,9,2,0,1,2,0.406,2,0.2,0.727,7,636434
1630230,naji marshall,DAL,27,69,1919,914,328,76,208,70,11,112,0.508,60,0.275,0.813,-137,9000000
1631466,nate williams,HOU,26,20,146,65,13,5,9,8,4,14,0.435,6,0.231,0.625,-24,578577
1629675,naz reid,MIN,25,80,2200,1138,480,92,181,58,72,108,0.462,175,0.379,0.776,340,21551724
1629674,neemias queta,BOS,25,62,863,310,236,89,45,18,42,40,0.65,0,0.0,0.754,155,2349578
1629651,nic claxton,BKN,26,70,1881,724,515,157,157,62,100,87,0.563,5,0.238,0.513,-497,25352272
1630208,nick richards,PHX,27,57,1256,529,466,148,49,14,55,81,0.591,0,0.0,0.744,-235,5000000
1641733,nick smith jr.,CHA,21,60,1368,591,128,13,145,17,6,82,0.391,104,0.34,0.935,-398,2710303
1629638,nickeil alexander-walker,MIN,26,82,2073,773,265,54,223,50,34,99,0.438,141,0.381,0.78,270,15161800
201587,nicolas batum,LAC,36,78,1367,313,218,47,84,52,36,34,0.437,88,0.433,0.81,152,5601600
203999,nikola jokic,DEN,30,70,2570,2071,892,200,716,127,45,230,0.576,138,0.417,0.8,594,55224526
1631107,nikola jovic,MIA,22,46,1155,494,180,26,131,38,13,60,0.456,78,0.371,0.828,-20,4445417
202696,nikola vucevic,CHI,34,73,2278,1349,735,178,256,61,52,119,0.53,129,0.402,0.805,-98,21481481
1641730,noah clowney,BKN,20,46,1042,420,181,43,40,24,21,46,0.358,87,0.333,0.838,-261,3398406
1626181,norman powell,LAC,32,60,1957,1306,190,21,125,73,9,108,0.484,179,0.418,0.804,352,20482758
1628384,og anunoby,NYK,27,74,2705,1332,358,97,164,110,65,102,0.476,171,0.372,0.81,301,39568966
1630167,obi toppin,IND,27,79,1544,833,318,56,128,46,28,68,0.529,110,0.365,0.781,-77,14000000
